,Samlpe,Type,MSI.score,Genes
1,TCGA-OR-A5J1-01,ACC,0.350497247084133,6.89453393391361
2,TCGA-OR-A5J2-01,ACC,0.404467196763089,7.36122743280771
3,TCGA-OR-A5J3-01,ACC,0.425888934024304,7.77625206678789
4,TCGA-OR-A5J5-01,ACC,0.606347466724573,6.19809558949204
5,TCGA-OR-A5J6-01,ACC,0.36669988859949,5.49839491343629
6,TCGA-OR-A5J7-01,ACC,0.371837617330421,7.92392212234104
7,TCGA-OR-A5J8-01,ACC,0.400865777566253,7.25797868736046
8,TCGA-OR-A5J9-01,ACC,0.397583940298248,7.44202165302413
9,TCGA-OR-A5JA-01,ACC,0.386259141133346,7.45538624716602
10,TCGA-OR-A5JB-01,ACC,0.367930141431883,7.53486619115928
11,TCGA-OR-A5JC-01,ACC,0.376068071133686,6.38862355578588
12,TCGA-OR-A5JD-01,ACC,0.378844514469503,5.51674483988427
13,TCGA-OR-A5JE-01,ACC,0.369717729413565,7.38599982549301
14,TCGA-OR-A5JF-01,ACC,0.362217377487169,7.7642547284173
15,TCGA-OR-A5JG-01,ACC,0.401193551063264,6.91057004850159
16,TCGA-OR-A5JI-01,ACC,0.357946052859261,5.41367378431583
17,TCGA-OR-A5JJ-01,ACC,0.3919876262198,8.2948701238516
18,TCGA-OR-A5JK-01,ACC,0.373286274273024,6.18786546310281
19,TCGA-OR-A5JL-01,ACC,0.386590249662717,7.32316555152574
20,TCGA-OR-A5JM-01,ACC,0.367706537116356,8.75917468532073
21,TCGA-OR-A5JO-01,ACC,0.348572370159641,6.32408432017347
22,TCGA-OR-A5JP-01,ACC,0.346758372226802,7.4688643376335
23,TCGA-OR-A5JQ-01,ACC,0.371614617864656,7.38220011894874
24,TCGA-OR-A5JR-01,ACC,0.380729448503549,6.73009035626642
25,TCGA-OR-A5JS-01,ACC,0.363675721807263,8.65209401267045
26,TCGA-OR-A5JT-01,ACC,0.378622595527227,6.39143349864811
27,TCGA-OR-A5JV-01,ACC,0.390557635974131,6.91945145779958
28,TCGA-OR-A5JW-01,ACC,0.357383093847595,6.62478494112862
29,TCGA-OR-A5JX-01,ACC,0.356481902256871,6.66759418204152
30,TCGA-OR-A5JY-01,ACC,0.370610693490593,7.58847820930641
