,Samlpe,Type,TMB.score,Genes
1,TCGA-OR-A5J1-01,ACC,0.6123499646,6.89453393391361
2,TCGA-OR-A5J2-01,ACC,0.7079677019,7.36122743280771
3,TCGA-OR-A5J3-01,ACC,0.2668529371,7.77625206678789
4,TCGA-OR-A5J5-01,ACC,9.1239701839,6.19809558949204
5,TCGA-OR-A5J6-01,ACC,0.7381669985,5.49839491343629
6,TCGA-OR-A5J7-01,ACC,1.2203597023,7.92392212234104
7,TCGA-OR-A5J8-01,ACC,2.0764705441,7.25797868736046
8,TCGA-OR-A5J9-01,ACC,0.7822123045,7.44202165302413
9,TCGA-OR-A5JA-01,ACC,12.113314049,7.45538624716602
10,TCGA-OR-A5JB-01,ACC,7.6275250942,7.53486619115928
11,TCGA-OR-A5JC-01,ACC,0.6305376973,6.38862355578588
12,TCGA-OR-A5JD-01,ACC,0.6000825661,5.51674483988427
13,TCGA-OR-A5JE-01,ACC,1.2358560872,7.38599982549301
14,TCGA-OR-A5JF-01,ACC,1.7522970889,7.7642547284173
15,TCGA-OR-A5JG-01,ACC,0.6612957985,6.91057004850159
16,TCGA-OR-A5JI-01,ACC,0.3277036397,5.41367378431583
17,TCGA-OR-A5JJ-01,ACC,0.4917016738,8.2948701238516
18,TCGA-OR-A5JK-01,ACC,0.5958620387,6.18786546310281
19,TCGA-OR-A5JL-01,ACC,0.2932298506,7.32316555152574
20,TCGA-OR-A5JM-01,ACC,1.4085174806,8.75917468532073
21,TCGA-OR-A5JO-01,ACC,0.3446132404,6.32408432017347
22,TCGA-OR-A5JP-01,ACC,1.6889493539,7.4688643376335
23,TCGA-OR-A5JQ-01,ACC,0.1623420371,7.38220011894874
24,TCGA-OR-A5JR-01,ACC,0.0516869496,6.73009035626642
25,TCGA-OR-A5JS-01,ACC,0.7637337902,8.65209401267045
26,TCGA-OR-A5JT-01,ACC,0.6063806013,6.39143349864811
27,TCGA-OR-A5JV-01,ACC,0.680023877,6.91945145779958
28,TCGA-OR-A5JW-01,ACC,0.7144189809,6.62478494112862
29,TCGA-OR-A5JX-01,ACC,0.8210385996,6.66759418204152
30,TCGA-OR-A5JY-01,ACC,1.6633802345,7.58847820930641
31,TCGA-OR-A5JZ-01,ACC,0.3141504516,5.670482848628
32,TCGA-OR-A5K0-01,ACC,1.1931966789,7.35091783182607
33,TCGA-OR-A5K1-01,ACC,0.3215458122,6.50186860857057
