,V1,V2,V3,V4,pstar
1,ACC,B cell_TIMER,-0.023,0.83812608078201,
2,ACC,T cell CD4+_TIMER,-0.088,0.442418984144385,
3,ACC,T cell CD8+_TIMER,-0.015,0.896146268544907,
4,ACC,Neutrophil_TIMER,0.097,0.39694965103269,
5,ACC,Macrophage_TIMER,-0.133,0.244149888685243,
6,ACC,Myeloid dendritic cell_TIMER,-0.043,0.706143741088286,
7,ACC,B cell naive_CIBERSORT,0.154,0.176640853078198,
8,ACC,B cell memory_CIBERSORT,0.206,0.0687650216360716,
9,ACC,B cell plasma_CIBERSORT,0.376,0.000648162510335171,***
10,ACC,T cell CD8+_CIBERSORT,-0.291,0.00933675794202225,**
11,ACC,T cell CD4+ naive_CIBERSORT,0.259,0.0210391557513002,*
12,ACC,T cell CD4+ memory resting_CIBERSORT,-0.186,0.100871442681568,
13,ACC,T cell CD4+ memory activated_CIBERSORT,0.045,0.693116226978881,
14,ACC,T cell follicular helper_CIBERSORT,0.132,0.24749484495408,
15,ACC,T cell regulatory (Tregs)_CIBERSORT,-0.056,0.626245675839738,
16,ACC,T cell gamma delta_CIBERSORT,-0.063,0.583560643492004,
17,ACC,NK cell resting_CIBERSORT,0.172,0.129565596304772,
18,ACC,NK cell activated_CIBERSORT,-0.004,0.975537093835084,
19,ACC,Monocyte_CIBERSORT,0.006,0.961234980850539,
20,ACC,Macrophage M0_CIBERSORT,0.304,0.00641231881087979,**
21,ACC,Macrophage M1_CIBERSORT,0.03,0.791382763277207,
22,ACC,Macrophage M2_CIBERSORT,-0.363,0.000993908026717107,***
23,ACC,Myeloid dendritic cell resting_CIBERSORT,-0.14,0.217245975773944,
24,ACC,Myeloid dendritic cell activated_CIBERSORT,0.389,0.000388625371741514,***
25,ACC,Mast cell activated_CIBERSORT,-0.314,0.00489552552647993,**
26,ACC,Mast cell resting_CIBERSORT,0.131,0.248511259456924,
27,ACC,Eosinophil_CIBERSORT,0.341,0.00207018656021854,**
28,ACC,Neutrophil_CIBERSORT,-0.004,0.972190274376362,
29,ACC,B cell naive_CIBERSORT-ABS,0.14,0.218861603189201,
30,ACC,B cell memory_CIBERSORT-ABS,0.109,0.340332044595049,
31,ACC,B cell plasma_CIBERSORT-ABS,0.286,0.0106386437409996,*
32,ACC,T cell CD8+_CIBERSORT-ABS,-0.109,0.340068633042515,
33,ACC,T cell CD4+ naive_CIBERSORT-ABS,0.225,0.0466891935615917,*
34,ACC,T cell CD4+ memory resting_CIBERSORT-ABS,-0.151,0.184094632118207,
35,ACC,T cell CD4+ memory activated_CIBERSORT-ABS,0.059,0.602685595948212,
36,ACC,T cell follicular helper_CIBERSORT-ABS,0.096,0.397724857323251,
37,ACC,T cell regulatory (Tregs)_CIBERSORT-ABS,-0.014,0.899915342463793,
38,ACC,T cell gamma delta_CIBERSORT-ABS,-0.053,0.64550000995523,
39,ACC,NK cell resting_CIBERSORT-ABS,0.095,0.4029971593771,
40,ACC,NK cell activated_CIBERSORT-ABS,-0.048,0.674528265019331,
41,ACC,Monocyte_CIBERSORT-ABS,-0.037,0.743569687280011,
42,ACC,Macrophage M0_CIBERSORT-ABS,0.09,0.4283756078654,
43,ACC,Macrophage M1_CIBERSORT-ABS,0.052,0.649069637196952,
